GEOID,NAME,estimate_pop,estimate_hispanic,estimate_couplehh,moe_pop,moe_hispanic,moe_couplehh,his_per
48355,"Nueces County, Texas",352829,219138,58822,NA,NA,1697,0.6210884025972921
48215,"Hidalgo County, Texas",880921,809705,136679,NA,NA,2597,0.9191573364694451
48061,"Cameron County, Texas",423192,378059,65082,NA,NA,1463,0.8933510085256811
48479,"Webb County, Texas",267731,254619,40875,NA,NA,1230,0.951025469594481
48057,"Calhoun County, Texas",19921,9816,4604,NA,NA,453,0.4927463480748958
48323,"Maverick County, Texas",57770,54797,9496,NA,NA,718,0.948537303098494
48465,"Val Verde County, Texas",47647,38580,8430,NA,NA,630,0.8097047033391399
48039,"Brazoria County, Texas",381650,119727,74099,NA,NA,1812,0.31370889558496007
48229,"Hudspeth County, Texas",3331,2181,416,NA,NA,81,0.6547583308315821
48203,"Harrison County, Texas",69584,10129,12705,NA,NA,835,0.14556507243044378
48387,"Red River County, Texas",11621,826,2569,NA,NA,270,0.07107822046295499
48315,"Marion County, Texas",9631,436,1700,NA,NA,193,0.04527048073927941
48481,"Wharton County, Texas",41651,17294,7890,NA,NA,523,0.41521211975702865
48001,"Anderson County, Texas",57825,11182,8795,NA,NA,565,0.1933765672287073
48157,"Fort Bend County, Texas",859721,210272,183272,NA,NA,2692,0.24458167242628714
48257,"Kaufman County, Texas",160718,42372,29268,NA,NA,1036,0.2636419069425951
48471,"Walker County, Texas",78292,16931,9731,NA,NA,701,0.21625453430746436
48495,"Winkler County, Texas",7540,4660,1525,NA,NA,192,0.6180371352785146
48125,"Dickens County, Texas",1641,558,374,182,129,68,0.340036563071298
48053,"Burnet County, Texas",51064,11782,11418,NA,NA,518,0.23073006423311923
48267,"Kimble County, Texas",4355,1114,936,NA,162,159,0.2557979334098737
48287,"Lee County, Texas",17758,4649,3636,NA,NA,337,0.26179749971843674
48289,"Leon County, Texas",16067,2594,3817,NA,NA,343,0.16144893259475945
48063,"Camp County, Texas",12652,3377,2281,NA,NA,246,0.2669143218463484
48449,"Titus County, Texas",31284,13887,5810,NA,NA,396,0.44390103567318756
48455,"Trinity County, Texas",13850,1480,2866,NA,NA,288,0.10685920577617329
48477,"Washington County, Texas",36156,6557,7753,NA,NA,516,0.18135302577718773
48341,"Moore County, Texas",21234,12743,3597,NA,NA,308,0.6001224451351606
48155,"Foard County, Texas",1079,118,176,172,67,58,0.10936051899907322
48071,"Chambers County, Texas",49178,12418,10812,NA,NA,813,0.25251128553418195
48167,"Galveston County, Texas",354721,91727,71641,NA,NA,1693,0.2585891447080945
48003,"Andrews County, Texas",18518,10525,3961,NA,NA,393,0.5683659142455989
48037,"Bowie County, Texas",92321,7726,15580,NA,NA,815,0.08368626856294885
48205,"Hartley County, Texas",5307,1629,981,NA,NA,84,0.30695308083663086
48043,"Brewster County, Texas",9464,3980,1950,NA,NA,288,0.42054099746407436
48453,"Travis County, Texas",1307625,425105,235388,NA,NA,3377,0.32509702705286303
48339,"Montgomery County, Texas",654722,177581,143099,NA,NA,2235,0.2712311484874496
48187,"Guadalupe County, Texas",178368,68626,35866,NA,NA,1296,0.3847439002511661
48423,"Smith County, Texas",238014,49012,42626,NA,NA,1197,0.2059206601292361
48475,"Ward County, Texas",11255,6238,2199,NA,NA,241,0.5542425588627277
48103,"Crane County, Texas",4623,3160,923,NA,NA,155,0.6835388276011248
48437,"Swisher County, Texas",6981,3194,1065,NA,NA,154,0.4575275748460106
48223,"Hopkins County, Texas",37351,6812,7436,NA,NA,428,0.18237798184787557
48015,"Austin County, Texas",30712,8359,7048,NA,NA,497,0.2721737431622818
48059,"Callahan County, Texas",14017,1487,2767,NA,NA,293,0.10608546764642933
48073,"Cherokee County, Texas",51143,12143,9485,NA,NA,601,0.23743229767514615
48499,"Wood County, Texas",46094,5153,9980,NA,NA,585,0.11179329196858594
48333,"Mills County, Texas",4499,851,1053,NA,177,146,0.1891531451433652
48083,"Coleman County, Texas",7765,1252,1538,NA,NA,197,0.16123631680618158
48317,"Martin County, Texas",5230,2383,1269,NA,160,157,0.45564053537284893
48051,"Burleson County, Texas",18327,4003,4179,NA,NA,354,0.21842090904130518
48469,"Victoria County, Texas",91281,43432,17263,NA,NA,780,0.475805479782211
48399,"Runnels County, Texas",9880,3402,1850,NA,NA,169,0.34433198380566804
48379,"Rains County, Texas",12505,1228,2474,NA,NA,322,0.09820071971211515
48065,"Carson County, Texas",5802,608,1243,NA,NA,146,0.10479145122371596
48047,"Brooks County, Texas",6987,6290,1233,NA,277,287,0.9002433090024331
48243,"Jeff Davis County, Texas",1740,540,365,384,358,140,0.3103448275862069
48007,"Aransas County, Texas",24449,6542,5268,NA,NA,509,0.2675774060288764
48409,"San Patricio County, Texas",69519,39012,11835,NA,NA,692,0.561170327536357
48141,"El Paso County, Texas",866275,716543,138410,NA,NA,2359,0.8271541946841361
48321,"Matagorda County, Texas",36274,15678,7089,NA,NA,562,0.43221039863262944
48377,"Presidio County, Texas",6043,4622,959,NA,138,215,0.7648518947542611
48269,"King County, Texas",189,49,72,70,48,33,0.25925925925925924
48245,"Jefferson County, Texas",253939,59759,40183,NA,NA,1049,0.23532816936350856
48067,"Cass County, Texas",28582,1467,5681,NA,NA,405,0.05132600937653068
48395,"Robertson County, Texas",16973,3712,2988,NA,NA,231,0.2187002886938078
48225,"Houston County, Texas",22042,3096,3753,NA,NA,273,0.1404591234915162
48373,"Polk County, Texas",51780,7799,9472,NA,NA,673,0.15061799922750096
48491,"Williamson County, Texas",643889,157980,137205,NA,NA,2159,0.24535284808406418
48411,"San Saba County, Texas",5802,1753,1113,NA,NA,143,0.30213719407101
48503,"Young County, Texas",17963,3621,3801,NA,NA,355,0.2015810276679842
48419,"Shelby County, Texas",24108,4736,4585,NA,NA,359,0.19644931143188982
48457,"Tyler County, Texas",20084,1614,3559,NA,NA,299,0.08036247759410475
48241,"Jasper County, Texas",32807,2248,6657,NA,NA,496,0.06852196177645015
48089,"Colorado County, Texas",20736,6218,4030,NA,NA,366,0.29986496913580246
48025,"Bee County, Texas",31000,19187,3630,NA,NA,393,0.6189354838709678
48313,"Madison County, Texas",13574,3509,2049,NA,NA,180,0.2585089141004862
48109,"Culberson County, Texas",2181,1899,216,NA,138,123,0.8707015130674003
48327,"Menard County, Texas",1964,549,372,NA,162,96,0.27953156822810593
48401,"Rusk County, Texas",52613,9839,9708,NA,NA,481,0.18700701347575693
48041,"Brazos County, Texas",237980,64536,34129,NA,NA,1133,0.27118245230691657
48119,"Delta County, Texas",5345,466,1207,NA,NA,148,0.08718428437792329
48219,"Hockley County, Texas",21455,10644,4263,NA,NA,308,0.49610813330226056
48407,"San Jacinto County, Texas",27983,5129,5878,NA,NA,617,0.183289854554551
48467,"Van Zandt County, Texas",61323,7835,12714,NA,NA,669,0.1277660910262055
48161,"Freestone County, Texas",19813,3321,3473,NA,NA,289,0.1676172210165043
48405,"San Augustine County, Texas",7889,643,1582,NA,NA,176,0.08150589428317911
48345,"Motley County, Texas",1267,102,238,155,61,49,0.08050513022888714
48427,"Starr County, Texas",65809,64036,8778,NA,NA,610,0.9730583962679876
48361,"Orange County, Texas",84993,7763,16963,NA,NA,626,0.09133693362982834
48201,"Harris County, Texas",4758579,2065668,781406,NA,NA,6541,0.43409345521005327
48403,"Sabine County, Texas",9998,417,2445,NA,NA,253,0.04170834166833367
48349,"Navarro County, Texas",53735,16796,9814,NA,NA,652,0.31257095003256724
48069,"Castro County, Texas",7328,4783,1386,NA,NA,154,0.6527019650655022
48273,"Kleberg County, Texas",30629,21830,4752,NA,NA,471,0.7127232361487479
48459,"Upshur County, Texas",41864,4219,8037,NA,NA,554,0.10077871201987387
48381,"Randall County, Texas",143791,34127,29243,NA,NA,1045,0.2373375246016788
48343,"Morris County, Texas",12014,1288,2402,NA,NA,212,0.10720825703346096
48301,"Loving County, Texas",54,0,11,34,15,10,0
48261,"Kenedy County, Texas",52,47,7,37,38,10,0.9038461538461539
48035,"Bosque County, Texas",18546,3492,4280,NA,NA,250,0.18828857974765448
48091,"Comal County, Texas",174552,48664,40901,NA,NA,1082,0.2787937119024703
48239,"Jackson County, Texas",15081,4948,3149,NA,NA,320,0.32809495391552285
48105,"Crockett County, Texas",2881,1795,868,224,315,181,0.6230475529330094
48175,"Goliad County, Texas",7096,2288,1513,NA,NA,181,0.322435174746336
48391,"Refugio County, Texas",6693,3354,947,NA,NA,142,0.5011205737337516
48029,"Bexar County, Texas",2037344,1212855,323517,NA,NA,3857,0.5953118373725792
48055,"Caldwell County, Texas",47184,26565,8232,NA,NA,619,0.5630086469989827
48429,"Stephens County, Texas",9278,2308,1620,NA,NA,186,0.24876050873032982
48369,"Parmer County, Texas",9752,6446,1996,NA,NA,215,0.6609926168990976
48371,"Pecos County, Texas",14983,10666,2129,NA,NA,347,0.7118734565841287
48135,"Ector County, Texas",163206,101602,28269,NA,NA,1454,0.6225383870691028
48185,"Grimes County, Texas",30385,7691,5865,NA,NA,492,0.2531183149580385
48023,"Baylor County, Texas",3464,473,774,NA,100,117,0.1365473441108545
48075,"Childress County, Texas",6772,2305,1107,NA,326,238,0.34037212049616067
48311,"McMullen County, Texas",623,339,80,201,141,38,0.5441412520064205
48153,"Floyd County, Texas",5294,3051,978,NA,NA,114,0.5763128069512656
48351,"Newton County, Texas",12193,415,2330,NA,NA,291,0.034035922250471584
48005,"Angelina County, Texas",86791,20104,15311,NA,NA,808,0.23163692087889298
48347,"Nacogdoches County, Texas",64897,13825,10865,NA,NA,543,0.21302987811455074
48085,"Collin County, Texas",1116601,178350,240770,NA,NA,2719,0.1597258107417063
48099,"Coryell County, Texas",83772,16992,13956,NA,NA,702,0.202836269875376
48143,"Erath County, Texas",43244,9508,8495,NA,NA,497,0.21986865229858477
48139,"Ellis County, Texas",203927,56354,41243,NA,NA,1124,0.2763439858380695
48331,"Milam County, Texas",25268,6466,5144,NA,NA,318,0.2558967864492639
48281,"Lampasas County, Texas",22267,4477,4730,NA,NA,322,0.20105986437328782
48227,"Howard County, Texas",33127,15547,5426,NA,NA,372,0.469315060222779
48131,"Duval County, Texas",9824,8038,1167,NA,NA,214,0.818200325732899
48389,"Reeves County, Texas",13219,11206,1785,NA,NA,319,0.8477191920720175
48397,"Rockwall County, Texas",116931,23581,26429,NA,NA,721,0.20166593974224115
48277,"Lamar County, Texas",50421,4659,9604,NA,NA,549,0.09240197536740644
48021,"Bastrop County, Texas",102370,45026,18986,NA,NA,946,0.4398358894207287
48253,"Jones County, Texas",19968,5671,3453,NA,NA,292,0.28400440705128205
48237,"Jack County, Texas",8623,1589,1593,NA,NA,195,0.1842746144033399
48199,"Hardin County, Texas",57126,3723,12206,NA,NA,667,0.06517172565906942
48265,"Kerr County, Texas",53166,14049,11264,NA,NA,663,0.26424782755896625
48283,"La Salle County, Texas",6946,5629,936,37,282,222,0.810394471638353
48207,"Haskell County, Texas",5390,1402,1065,NA,NA,132,0.2601113172541744
48393,"Roberts County, Texas",785,83,178,95,46,36,0.10573248407643313
48137,"Edwards County, Texas",1392,610,158,201,223,65,0.4382183908045977
48293,"Limestone County, Texas",22185,5126,4028,NA,NA,358,0.23105702050935317
48081,"Coke County, Texas",3315,691,673,NA,NA,102,0.20844645550527904
48011,"Armstrong County, Texas",1883,180,472,95,47,63,0.09559214020180563
48319,"Mason County, Texas",3951,826,968,NA,176,120,0.20906099721589472
48435,"Sutton County, Texas",3306,2162,687,NA,260,131,0.6539624924379915
48195,"Hansford County, Texas",5182,2575,1105,NA,NA,150,0.4969123890389811
48017,"Bailey County, Texas",7044,4548,1220,384,358,223,0.645655877342419
48295,"Lipscomb County, Texas",2964,1095,616,NA,140,75,0.3694331983805668
48489,"Willacy County, Texas",20218,17623,2785,NA,NA,310,0.871649025620734
48271,"Kinney County, Texas",3140,1678,454,NA,256,126,0.5343949044585987
48443,"Terrell County, Texas",851,364,156,224,143,61,0.42773207990599293
48177,"Gonzales County, Texas",19764,10035,3308,NA,NA,326,0.5077413479052824
48367,"Parker County, Texas",158079,22268,35333,NA,NA,986,0.14086627572289803
48325,"Medina County, Texas",52419,26780,10482,NA,NA,544,0.5108834582880253
48303,"Lubbock County, Texas",314633,112607,51318,NA,NA,1302,0.35789952102926265
48497,"Wise County, Texas",72359,14878,15300,NA,NA,582,0.20561367625312676
48031,"Blanco County, Texas",12008,2209,2809,NA,NA,241,0.18396069287141906
48231,"Hunt County, Texas",104917,21575,19894,NA,NA,796,0.20563874300637647
48493,"Wilson County, Texas",51501,20354,11971,NA,NA,510,0.39521562688103146
48375,"Potter County, Texas",116634,45218,17200,NA,NA,856,0.38769141073786373
48279,"Lamb County, Texas",12919,7445,2202,NA,NA,189,0.5762829940397863
48149,"Fayette County, Texas",24783,5355,5504,NA,NA,344,0.2160755356494371
48019,"Bandera County, Texas",21589,4366,4972,NA,NA,403,0.20223261846310622
48335,"Mitchell County, Texas",8989,3481,1234,NA,NA,180,0.3872510846590277
48009,"Archer County, Texas",8734,787,2001,NA,NA,142,0.090107625372109
48193,"Hamilton County, Texas",8320,1129,1437,NA,NA,172,0.13569711538461537
48145,"Falls County, Texas",17063,4166,2705,NA,NA,300,0.24415401746468968
48095,"Concho County, Texas",3301,1024,431,NA,NA,67,0.3102090275674038
48249,"Jim Wells County, Texas",38863,30860,6637,NA,NA,574,0.7940714818722178
48129,"Donley County, Texas",3276,399,631,NA,NA,94,0.12179487179487179
48291,"Liberty County, Texas",97993,36192,16379,NA,NA,962,0.36933250334207546
48121,"Denton County, Texas",945644,191815,198324,NA,NA,2763,0.2028406038636104
48217,"Hill County, Texas",36664,8284,6730,NA,NA,322,0.22594370499672703
48181,"Grayson County, Texas",139988,22190,27249,NA,NA,860,0.15851358687887535
48197,"Hardeman County, Texas",3529,949,546,NA,144,76,0.2689147067157835
48147,"Fannin County, Texas",36525,4616,6710,NA,NA,398,0.1263791923340178
48501,"Yoakum County, Texas",7589,4950,1665,NA,NA,256,0.65225984978258
48359,"Oldham County, Texas",2097,513,404,218,173,67,0.2446351931330472
48079,"Cochran County, Texas",2520,1501,431,NA,NA,57,0.5956349206349206
48077,"Clay County, Texas",10402,705,2615,NA,NA,166,0.0677754278023457
48357,"Ochiltree County, Texas",9852,5484,1590,NA,NA,245,0.5566382460414129
48431,"Sterling County, Texas",1389,447,284,172,144,69,0.32181425485961124
48165,"Gaines County, Texas",21904,8723,4558,NA,NA,358,0.3982377647918188
48421,"Sherman County, Texas",2434,1149,518,218,172,73,0.47206244864420704
48169,"Garza County, Texas",5435,2717,708,188,324,142,0.49990800367985283
48275,"Knox County, Texas",3322,1124,710,NA,NA,90,0.3383503913305238
48353,"Nolan County, Texas",14565,5396,2520,NA,NA,249,0.37047717130106417
48417,"Shackelford County, Texas",3169,401,726,NA,NA,96,0.12653834017040075
48507,"Zavala County, Texas",9532,8831,1238,NA,NA,253,0.9264582459085187
48247,"Jim Hogg County, Texas",4797,3757,544,NA,255,152,0.7831978319783198
48173,"Glasscock County, Texas",1070,290,317,141,143,56,0.27102803738317754
48413,"Schleicher County, Texas",2426,1282,544,NA,NA,113,0.528441879637263
48329,"Midland County, Texas",171496,76792,33656,NA,NA,1527,0.4477772076316649
48093,"Comanche County, Texas",13786,4002,2993,NA,NA,228,0.2902945016683592
48305,"Lynn County, Texas",5667,2356,1212,NA,NA,113,0.4157402505734957
48385,"Real County, Texas",2821,664,542,NA,213,106,0.23537752570010634
48297,"Live Oak County, Texas",11444,4815,2122,NA,NA,255,0.420744494931842
48307,"McCulloch County, Texas",7565,2325,1418,NA,NA,225,0.3073364177131527
48151,"Fisher County, Texas",3661,965,913,NA,101,96,0.2635891832832559
48045,"Briscoe County, Texas",1223,321,261,155,136,54,0.2624693376941946
48505,"Zapata County, Texas",13855,13014,1600,NA,NA,268,0.9392998917358354
48383,"Reagan County, Texas",3259,2186,715,NA,171,92,0.6707579011966861
48117,"Deaf Smith County, Texas",18487,14000,3249,NA,NA,359,0.7572889057175313
48485,"Wichita County, Texas",129842,26409,21460,NA,NA,849,0.20339335500069314
48255,"Karnes County, Texas",14819,7863,1941,NA,NA,255,0.5306026047641541
48049,"Brown County, Texas",38294,8503,7104,NA,NA,470,0.22204522901760068
48483,"Wheeler County, Texas",4902,1224,1011,NA,NA,125,0.24969400244798043
48299,"Llano County, Texas",22011,2787,5360,NA,NA,355,0.12661850892735452
48209,"Hays County, Texas",256429,100152,47663,NA,NA,1449,0.39056424975334303
48191,"Hall County, Texas",2827,975,528,NA,NA,84,0.34488857446055887
48235,"Irion County, Texas",1432,428,340,183,53,87,0.2988826815642458
48033,"Borden County, Texas",723,110,197,122,112,55,0.15214384508990317
48309,"McLennan County, Texas",263608,70219,44999,NA,NA,1330,0.2663765894813511
48251,"Johnson County, Texas",188820,46403,38193,NA,NA,1051,0.24575256858383646
48451,"Tom Green County, Texas",119398,47877,20912,NA,NA,907,0.400986616191226
48133,"Eastland County, Texas",17846,3013,3761,NA,NA,322,0.16883335201165528
48285,"Lavaca County, Texas",20479,4046,4575,NA,NA,280,0.19756824063674985
48113,"Dallas County, Texas",2603816,1061995,412496,NA,NA,4527,0.40786100093094135
48013,"Atascosa County, Texas",50058,32389,8543,NA,NA,664,0.6470294458428223
48101,"Cottle County, Texas",1302,338,232,188,133,56,0.25960061443932414
48183,"Gregg County, Texas",124860,24748,21922,NA,NA,846,0.19820599070959474
48233,"Hutchinson County, Texas",20413,5011,3642,NA,NA,333,0.24548082104541225
48127,"Dimmit County, Texas",8507,7403,1067,NA,NA,213,0.8702245209827201
48447,"Throckmorton County, Texas",1589,124,331,183,53,62,0.07803650094398994
48337,"Montague County, Texas",20599,2463,4441,NA,NA,322,0.11956891111218991
48159,"Franklin County, Texas",10522,1500,2155,NA,NA,293,0.14255844896407527
48445,"Terry County, Texas",11699,6574,1652,NA,NA,285,0.5619283699461493
48461,"Upton County, Texas",3227,1812,628,NA,171,114,0.5615122404710258
48163,"Frio County, Texas",18019,13977,2350,NA,NA,381,0.7756812253732172
48179,"Gray County, Texas",21131,6499,4137,NA,NA,306,0.30755761677156784
48425,"Somervell County, Texas",9510,1719,2297,NA,NA,242,0.1807570977917981
48211,"Hemphill County, Texas",3311,1099,746,NA,140,115,0.33192389006342493
48107,"Crosby County, Texas",5072,2831,960,NA,NA,113,0.5581624605678234
48433,"Stonewall County, Texas",1244,283,235,113,112,56,0.227491961414791
48463,"Uvalde County, Texas",24810,17548,4008,NA,NA,416,0.7072954453849254
48415,"Scurry County, Texas",16633,7089,2875,NA,NA,351,0.42620092587025793
48213,"Henderson County, Texas",83658,11964,17315,NA,NA,666,0.14301082980707164
48189,"Hale County, Texas",32247,19597,5216,NA,NA,346,0.6077154463981146
48487,"Wilbarger County, Texas",12712,3798,1926,NA,NA,312,0.2987728130899937
48263,"Kent County, Texas",727,86,145,113,52,45,0.11829436038514443
48363,"Palo Pinto County, Texas",28920,5846,5450,NA,NA,328,0.20214384508990318
48221,"Hood County, Texas",64198,8569,15609,NA,NA,600,0.13347767843234992
48027,"Bell County, Texas",379811,98037,65734,NA,NA,1856,0.25812048624184136
48259,"Kendall County, Texas",46971,11114,11315,NA,NA,565,0.23661408102871984
48365,"Panola County, Texas",22624,2266,4401,NA,NA,338,0.10015912305516265
48171,"Gillespie County, Texas",27202,6092,6175,NA,NA,400,0.2239541210205132
48111,"Dallam County, Texas",7180,3781,1383,NA,NA,236,0.5266016713091922
48441,"Taylor County, Texas",144259,35709,26485,NA,NA,928,0.24753394935497958
48473,"Waller County, Texas",59455,19593,9913,NA,NA,619,0.329543352115045
48087,"Collingsworth County, Texas",2733,891,418,182,174,78,0.3260153677277717
48439,"Tarrant County, Texas",2135743,637594,376410,NA,NA,4541,0.2985349829075877
48123,"DeWitt County, Texas",19853,7017,3322,NA,NA,208,0.3534478416360248
48115,"Dawson County, Texas",12311,6815,1832,NA,NA,250,0.5535699780683941
48097,"Cooke County, Texas",42473,8719,8923,NA,NA,537,0.20528335648529655
